"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER VALUES(RS.CR.)=NO. OF SHARES ENCUMBERED [X] * LAST AVAILABLE CLOSING PRICE OF THE SCRIP","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT","Values(Rs. Cr.)","BROADCAST DATE"
"Kanani Industries Limited","197868000","66854954","    33.79","131013046","0","     0.00","     0.00",,"23-Oct-2025 16:30:47","1431040","197821800","0.72",,"23-Oct-2025 16:30:47"
"Kanoria Chemicals & Industries Limited","43693333","32506880","    74.40","11186453","9612534","    29.57","    22.00",,"23-Oct-2025 16:30:18","10436076","43434987","24.03",,"23-Oct-2025 16:30:18"
"Kansai Nerolac Paints Limited","808502516","606203847","    74.98","202298669","0","     0.00","     0.00",,"23-Oct-2025 16:30:20","3981600","807180146","0.49",,"23-Oct-2025 16:30:20"
"Kapston Services Limited","20288122","14783390","    72.87","5504732","0","     0.00","     0.00",,"23-Oct-2025 16:30:52","16141","20288122","0.08",,"23-Oct-2025 16:30:52"
"Karma Energy Limited","11569918","8643046","    74.70","2926872","0","     0.00","     0.00",,"23-Oct-2025 16:30:46","25333","11398694","0.22",,"23-Oct-2025 16:30:46"
"Karur Vysya Bank Limited","966387788","20324010","     2.10","946063778","753339","     3.71","     0.08",,"23-Oct-2025 16:30:13","29364036","959416855","3.06",,"23-Oct-2025 16:30:13"
"Karuturi Global Limited","1497531526","366473963","    24.47","1131057563","10000000","     2.73","     0.67",,"23-Oct-2025 16:30:39","17909267","1016478841","1.76",,"23-Oct-2025 16:30:39"
"Kaushalya Infrastructure Development Corporation Limited","346306","178061","    51.42","168245","0","     0.00","     0.00",,"23-Oct-2025 16:30:41","3323","346302","0.96",,"23-Oct-2025 16:30:41"
"Kaveri Seed Company Limited","51439071","31418917","    61.08","20020154","0","     0.00","     0.00",,"23-Oct-2025 16:30:40","915153","51439060","1.78",,"23-Oct-2025 16:30:40"
"Kavveri Defence & Wireless Technologies Limited","34374260","5295931","    15.41","29078329","750000","    14.16","     2.18",,"23-Oct-2025 16:30:41","947815","34303436","2.76",,"23-Oct-2025 16:30:41"
"Kellton Tech Solutions Limited","513722420","198828550","    38.70","314893870","22000000","    11.06","     4.28",,"23-Oct-2025 16:30:50","54595740","515262920","10.6",,"23-Oct-2025 16:30:50"
"Kernex Microsystems (India) Limited","16759422","4855521","    28.97","11903901","428297","     8.82","     2.56",,"23-Oct-2025 16:30:34","1133800","16425319","6.9",,"23-Oct-2025 16:30:34"
"Kesoram Industries Limited","310663663","134650683","    43.34","176012980","0","     0.00","     0.00",,"23-Oct-2025 16:30:22","8996783","310173054","2.9",,"23-Oct-2025 16:30:22"
"Kewal Kiran Clothing Limited","61625185","45770365","    74.27","15854820","0","     0.00","     0.00",,"23-Oct-2025 16:30:35","1195572","61625016","1.94",,"23-Oct-2025 16:30:35"
"Keynote Financial Services Limited","5566637","4001144","    71.88","1565493","0","     0.00","     0.00",,"23-Oct-2025 16:30:23","23704","5486860","0.43",,"23-Oct-2025 16:30:23"
"Khaitan (India) Limited","4750000","2861630","    60.24","1888370","940000","    32.85","    19.79",,"23-Oct-2025 16:30:22","1023584","4333919","23.62",,"23-Oct-2025 16:30:22"
"Khaitan Chemicals & Fertilizers Limited","96989200","70398619","    72.58","26590581","0","     0.00","     0.00",,"23-Oct-2025 16:30:53","3230323","96084610","3.36",,"23-Oct-2025 16:30:53"
"Khandwala Securities Limited","15253805","7362543","    48.27","7891262","1733321","    23.54","    11.36",,"23-Oct-2025 16:30:28","1826196","15136204","12.07",,"23-Oct-2025 16:30:28"
"Kilitch Drugs (India) Limited","17480782","11148173","    63.77","6332609","0","     0.00","     0.00",,"23-Oct-2025 16:30:44","363488","17137577","2.12",,"23-Oct-2025 16:30:44"
"Kiri Industries Limited","60022554","22038829","    36.72","37983725","59573","     0.27","     0.10",,"23-Oct-2025 16:30:42","9064029","59985497","15.11",,"23-Oct-2025 16:30:42"
"Kirloskar Brothers Limited","79408926","52371675","    65.95","27037251","0","     0.00","     0.00",,"23-Oct-2025 16:30:44","1045609","78378606","1.33",,"23-Oct-2025 16:30:44"
"Kirloskar Electric Company Limited","66414071","32937967","    49.59","33476104","24886143","    75.55","    37.47",,"23-Oct-2025 16:30:05","26732141","63155053","42.33",,"23-Oct-2025 16:30:05"
"Kirloskar Industries Limited","10417895","7555204","    72.52","2862691","0","     0.00","     0.00",,"23-Oct-2025 16:30:44","322350","10437202","3.09",,"23-Oct-2025 16:30:44"
"Kirloskar Oil Engines Limited","145269484","59739308","    41.12","85530176","0","     0.00","     0.00",,"23-Oct-2025 16:30:45","3356358","143170154","2.34",,"23-Oct-2025 16:30:45"
"Kitex Garments Limited","199500000","113032386","    56.66","86467614","0","     0.00","     0.00",,"23-Oct-2025 16:30:47","4622254","198875400","2.32",,"23-Oct-2025 16:30:47"
"Kohinoor Foods Limited","37071530","13965790","    37.67","23105740","0","     0.00","     0.00",,"23-Oct-2025 16:30:12","489477","36669968","1.33",,"23-Oct-2025 16:30:12"
"Kokuyo Camlin Limited","100303806","75215950","    74.99","25087856","0","     0.00","     0.00",,"23-Oct-2025 16:30:26","977436","99513470","0.98",,"23-Oct-2025 16:30:26"
"Kolte - Patil Developers Limited","88680094","65458747","    73.81","23221347","0","     0.00","     0.00",,"23-Oct-2025 16:30:40","1208181","88680092","1.36",,"23-Oct-2025 16:30:40"
"Kopran Limited","48285605","21449703","    44.42","26835902","0","     0.00","     0.00",,"23-Oct-2025 16:30:20","2366554","48027657","4.93",,"23-Oct-2025 16:30:20"
"Kotak Mahindra Bank Limited","1988592513","514641397","    25.88","1473951116","0","     0.00","     0.00",,"23-Oct-2025 16:30:19","17785416","1986277856","0.9",,"23-Oct-2025 16:30:19"
"Kothari Petrochemicals Limited","58846400","42497005","    72.22","16349395","0","     0.00","     0.00",,"23-Oct-2025 16:30:24","818688","57939052","1.41",,"23-Oct-2025 16:30:24"
"Kothari Products Limited","59687730","44760310","    74.99","14927420","0","     0.00","     0.00",,"23-Oct-2025 16:30:25","527558","59601928","0.89",,"23-Oct-2025 16:30:25"
"Kothari Sugars And Chemicals Limited","82888580","60947600","    73.53","21940980","0","     0.00","     0.00",,"23-Oct-2025 16:30:32","1010049","82851800","1.22",,"23-Oct-2025 16:30:32"
"Kovai Medical Center & Hospital Limited","10942262","5472940","    50.02","5469322","0","     0.00","     0.00",,"23-Oct-2025 16:30:43","66848","1518121","4.4",,"23-Oct-2025 16:30:43"
"Krebs Biochemicals and Industries Limited","21560586","15684134","    72.74","5876452","0","     0.00","     0.00",,"23-Oct-2025 16:30:15","953655","21208255","4.5",,"23-Oct-2025 16:30:15"
"Kridhan Infra Limited","94779205","44691160","    47.15","50088045","0","     0.00","     0.00",,"23-Oct-2025 16:30:49","2004245","94714180","2.12",,"23-Oct-2025 16:30:49"
"Krishana Phoschem Limited","61827600","44493849","    71.96","17333751","0","     0.00","     0.00",,"23-Oct-2025 16:30:51","852257","61827600","1.38",,"23-Oct-2025 16:30:51"
"Krishna Institute of Medical Sciences Limited","400138935","136489330","    34.11","263649605","0","     0.00","     0.00",,"23-Oct-2025 16:30:53","30616376","399963110","7.65",,"23-Oct-2025 16:30:53"
"Ksb Limited","174039220","121471530","    69.80","52567690","0","     0.00","     0.00",,"23-Oct-2025 16:30:20","3553147","173131260","2.05",,"23-Oct-2025 16:30:20"
"Kshitij Polyline Limited","154244874","0","     0.00","154244874","0",,"     0.00",,"23-Oct-2025 16:30:52","501464","89000476","0.56",,"23-Oct-2025 16:30:52"
"Kuantum Papers Limited","87263630","61350690","    70.30","25912940","0","     0.00","     0.00",,"23-Oct-2025 16:30:53","1724705","86741370","1.99",,"23-Oct-2025 16:30:53"
"Kundan Minerals and Metals Limited","60483603","57458654","    95.00","3024949","0","     0.00","     0.00",,"23-Oct-2025 16:30:23","0","1423515","0",,"23-Oct-2025 16:30:23"
"L&T Finance Limited","2499869941","1652530125","    66.10","847339816","0","     0.00","     0.00",,"23-Oct-2025 16:30:46","29184791","2501151463","1.17",,"23-Oct-2025 16:30:46"
"LCC Infotech Limited","126593350","0","     0.00","126593350","0",,"     0.00",,"23-Oct-2025 16:30:27","34624310","124789244","27.75",,"23-Oct-2025 16:30:27"
"LEEL Electricals Limited","40332260","16982801","    42.11","23349459","84411","     0.50","     0.21",,"23-Oct-2025 16:30:24","298184","40119390","0.74",,"23-Oct-2025 16:30:24"
"LG Balakrishnan & Bros Limited","31892416","11104560","    34.82","20787856","0","     0.00","     0.00",,"23-Oct-2025 16:30:44","1357904","31504224","4.31",,"23-Oct-2025 16:30:44"
"LIC Housing Finance Limited","550063000","248842495","    45.24","301220505","0","     0.00","     0.00",,"23-Oct-2025 16:30:18","11270004","548323869","2.06",,"23-Oct-2025 16:30:18"
"LLOYDS ENGINEERING WORKS LIMITED","1475152590","726284523","    49.23","748868067","89000000","    12.25","     6.03",,"23-Oct-2025 16:30:50","176713447","1158240791","15.26",,"23-Oct-2025 16:30:50"
"LMW Limited","10683000","3290111","    30.80","7392889","0","     0.00","     0.00",,"23-Oct-2025 16:30:05","781681","10656684","7.34",,"23-Oct-2025 16:30:05"
"LT Foods Limited","347252944","177114906","    51.00","170138038","0","     0.00","     0.00",,"23-Oct-2025 16:30:36","14565106","347077082","4.2",,"23-Oct-2025 16:30:36"
"La Opala RG Limited","111000000","73081000","    65.84","37919000","0","     0.00","     0.00",,"23-Oct-2025 16:30:38","995697","110787444","0.9",,"23-Oct-2025 16:30:38"
"Lagnam Spintex Limited","17669000","12103000","    68.50","5566000","5829000","    48.16","    32.99",,"23-Oct-2025 16:30:52","6596689","17669000","37.33",,"23-Oct-2025 16:30:52"
"Lakshmi Energy and Foods Limited","73630000","39319058","    53.40","34310942",,,,,"23-Oct-2025 16:30:37","1613304","68788712","2.35",,"23-Oct-2025 16:30:37"
"Lakshmi Finance & Industrial Corporation Limited","3000000","1410102","    47.00","1589898","0","     0.00","     0.00",,"23-Oct-2025 16:30:49","17471","2514219","0.69",,"23-Oct-2025 16:30:49"
"Lakshmi Precision Screws Limited","10941667","6877078","    62.85","4064589","0","     0.00","     0.00",,"23-Oct-2025 16:30:35","86587","10651717","0.81",,"23-Oct-2025 16:30:35"
"Lambodhara Textiles Limited","10377600","7593283","    73.17","2784317","2982506","    39.28","    28.74",,"23-Oct-2025 16:30:49","3064033","10280600","29.8",,"23-Oct-2025 16:30:49"
"Landmark Property Development Company Limited","134143160","87007521","    64.86","47135639","0","     0.00","     0.00",,"23-Oct-2025 16:30:42","404248","132996034","0.3",,"23-Oct-2025 16:30:42"
"Larsen & Toubro Limited","1375556003","14462255","     1.05","1361093748","0","     0.00","     0.00",,"23-Oct-2025 16:30:31","20970043","1366353735","1.53",,"23-Oct-2025 16:30:31"
"Lasa Supergenerics Limited","50101239","26879650","    53.65","23221589","5553649","    20.66","    11.08",,"23-Oct-2025 16:30:51","1183513","50097518","2.36",,"23-Oct-2025 16:30:51"
"Laurus Labs Limited","539824899","148961718","    27.59","390863181","4000000","     2.69","     0.74",,"23-Oct-2025 16:30:50","38445330","539824899","7.12",,"23-Oct-2025 16:30:50"
"Laxmi Cotspin Limited","17147670","10053623","    58.63","7094047","0","     0.00","     0.00",,"23-Oct-2025 16:30:51","242635","17147670","1.41",,"23-Oct-2025 16:30:51"
"Leela Palaces Hotels & Resorts Limited","333957878","253498109","    75.91","80459769","0","     0.00","     0.00",,"23-Oct-2025 16:30:55","4396006","333957873","1.32",,"23-Oct-2025 16:30:55"
"Lemon Tree Hotels Limited","792246464","176901194","    22.33","615345270","0","     0.00","     0.00",,"23-Oct-2025 16:30:52","21657597","790555500","2.74",,"23-Oct-2025 16:30:52"
"Liberty Shoes Limited","17040000","9971889","    58.52","7068111","0","     0.00","     0.00",,"23-Oct-2025 16:30:15","511547","16903826","3.03",,"23-Oct-2025 16:30:15"
"Linde India Limited","85284223","63963167","    75.00","21321056","0","     0.00","     0.00",,"23-Oct-2025 16:30:07","2656597","84938196","3.13",,"23-Oct-2025 16:30:07"
"Lloyds Metals And Energy Limited","526448232","332026461","    63.07","194421771","43607921","    13.13","     8.28",,"23-Oct-2025 16:30:54","105039716","523486622","20.07",,"23-Oct-2025 16:30:54"
"Lodha Developers Limited","998489289","717642488","    71.87","280846801","0","     0.00","     0.00",,"23-Oct-2025 16:30:53","2941514","998503260","0.29",,"23-Oct-2025 16:30:53"
"Lokesh Machines Limited","19996770","10717817","    53.60","9278953","1558000","    14.54","     7.79",,"23-Oct-2025 16:30:35","2065934","19996762","10.33",,"23-Oct-2025 16:30:35"
"Lotus Eye Hospital and Institute Limited","20796330","8451242","    40.64","12345088","0","     0.00","     0.00",,"23-Oct-2025 16:30:42","312947","20796230","1.5",,"23-Oct-2025 16:30:42"
"Lovable Lingerie Limited","14800000","9465209","    63.95","5334791","0","     0.00","     0.00",,"23-Oct-2025 16:30:46","213364","14799999","1.44",,"23-Oct-2025 16:30:46"
"Lumax Auto Technologies Limited","68157705","38154430","    55.98","30003275","0","     0.00","     0.00",,"23-Oct-2025 16:30:37","1443122","68157255","2.12",,"23-Oct-2025 16:30:37"
"Lumax Industries Limited","9347732","7010798","    75.00","2336934","0","     0.00","     0.00",,"23-Oct-2025 16:30:05","234583","9272828","2.53",,"23-Oct-2025 16:30:05"
"Lupin Limited","456757868","214212684","    46.90","242545184","0","     0.00","     0.00",,"23-Oct-2025 16:30:29","4539716","456294437","0.99",,"23-Oct-2025 16:30:29"
"Lyka Labs Limited","35690000","20758217","    58.16","14931783","0","     0.00","     0.00",,"23-Oct-2025 16:30:20","1234597","35481648","3.48",,"23-Oct-2025 16:30:20"
"Lypsa Gems & Jewellery Limited","29484000","10724500","    36.37","18759500","0","     0.00","     0.00",,"23-Oct-2025 16:30:48","183621","26033928","0.71",,"23-Oct-2025 16:30:48"
"MBL Infrastructure Limited","152529256","112882976","    74.01","39646280","27091914","    24.00","    17.76",,"23-Oct-2025 16:30:43","30459148","152529238","19.97",,"23-Oct-2025 16:30:43"
"MEP Infrastructure Developers Limited","183446051","49094466","    26.76","134351585","40139065","    81.76","    21.88",,"23-Oct-2025 16:30:49","43568457","183446026","23.75",,"23-Oct-2025 16:30:49"
"MIRC Electronics Limited","280442464","149651769","    53.36","130790695","42525503","    28.42","    15.16",,"23-Oct-2025 16:30:15","47267438","277892817","17.01",,"23-Oct-2025 16:30:15"
"MM Forgings Limited","48281600","27199790","    56.34","21081810","0","     0.00","     0.00",,"23-Oct-2025 16:30:24","901878","47966540","1.88",,"23-Oct-2025 16:30:24"
"MMTC Limited","1500000000","1348903143","    89.93","151096857","0","     0.00","     0.00",,"23-Oct-2025 16:30:43","14072442","1499997247","0.94",,"23-Oct-2025 16:30:43"
"MOIL Limited","203485211","131624088","    64.68","71861123","0","     0.00","     0.00",,"23-Oct-2025 16:30:45","8301848","203484803","4.08",,"23-Oct-2025 16:30:45"
"MPS Limited","17105816","11830499","    69.16","5275317","0","     0.00","     0.00",,"23-Oct-2025 16:30:29","1229207","17099470","7.19",,"23-Oct-2025 16:30:29"
"MRF Limited","4241143","1176705","    27.74","3064438","0","     0.00","     0.00",,"23-Oct-2025 16:30:22","36490","4211634","0.87",,"23-Oct-2025 16:30:22"
"MSP Steel & Power Limited","566796645","199749330","    35.24","367047315","162460359","    81.33","    28.66",,"23-Oct-2025 16:30:33","263867199","565035519","46.7",,"23-Oct-2025 16:30:33"
"MT Educare Limited","72228054","42702513","    59.12","29525541","21668416","    50.74","    30.00",,"23-Oct-2025 16:30:47","22399392","72202804","31.02",,"23-Oct-2025 16:30:47"
"Maan Aluminium Limited","54084864","31837568","    58.87","22247296","0","     0.00","     0.00",,"23-Oct-2025 16:30:40","792557","53866374","1.47",,"23-Oct-2025 16:30:40"
"Madhav Marbles and Granites Limited","8947000","3989866","    44.59","4957134","0","     0.00","     0.00",,"23-Oct-2025 16:30:41","91341","8793895","1.04",,"23-Oct-2025 16:30:41"
"Madhucon Projects Limited","73794940","43595278","    59.08","30199662","0","     0.00","     0.00",,"23-Oct-2025 16:30:36","789834","73614130","1.07",,"23-Oct-2025 16:30:36"
"Madhya Bharat Agro Products Limited","87626940","65391960","    74.63","22234980","0","     0.00","     0.00",,"23-Oct-2025 16:30:50","943165","87626940","1.08",,"23-Oct-2025 16:30:50"
"Madras Fertilizers Limited","161101300","137368200","    85.27","23733100","0","     0.00","     0.00",,"23-Oct-2025 16:30:24","1448956","157721986","0.92",,"23-Oct-2025 16:30:24"
"Magellanic Cloud Limited","584395120","340713600","    58.30","243681520","50775000","    14.90","     8.69",,"23-Oct-2025 16:30:54","76056971","583764945","13.03",,"23-Oct-2025 16:30:54"
"Magnum Ventures Limited","66411317","37767554","    56.87","28643763","8324255","    22.04","    12.53",,"23-Oct-2025 16:30:40","10516895","66411317","15.84",,"23-Oct-2025 16:30:40"
"Maha Rashtra Apex Corporation Limited","14091896","8813105","    62.54","5278791","0","     0.00","     0.00",,"23-Oct-2025 16:30:25","37226","12079065","0.31",,"23-Oct-2025 16:30:25"
"Mahanagar Telephone Nigam Limited","630000000","354378740","    56.25","275621260","0","     0.00","     0.00",,"23-Oct-2025 16:30:22","25656586","629888363","4.07",,"23-Oct-2025 16:30:22"
"Maharashtra Scooters Limited","11428568","5828560","    51.00","5600008","0","     0.00","     0.00",,"23-Oct-2025 16:30:05","354606","11291367","3.14",,"23-Oct-2025 16:30:05"
"Maharashtra Seamless Limited","133999252","92522158","    69.05","41477094","0","     0.00","     0.00",,"23-Oct-2025 16:30:09","3705438","133254462","2.78",,"23-Oct-2025 16:30:09"
"Mahindra & Mahindra Financial Services Limited","1389971160","730161605","    52.53","659809555","0","     0.00","     0.00",,"23-Oct-2025 16:30:34","6514523","1389875200","0.47",,"23-Oct-2025 16:30:34"
"Mahindra & Mahindra Limited","1243528831","289008555","    23.24","954520276","40000","     0.01","     0.00",,"23-Oct-2025 16:30:15","10067309","1240670421","0.81",,"23-Oct-2025 16:30:15"
"Mahindra Holidays & Resorts India Limited","202016973","135211046","    66.93","66805927","0","     0.00","     0.00",,"23-Oct-2025 16:30:42","3818356","202014981","1.89",,"23-Oct-2025 16:30:42"
"Mahindra Lifespace Developers Limited","213278198","111805708","    52.42","101472490","0","     0.00","     0.00",,"23-Oct-2025 16:30:27","4112943","212443944","1.94",,"23-Oct-2025 16:30:27"
"Maithan Alloys Limited","29107448","21822326","    74.97","7285122","0","     0.00","     0.00",,"23-Oct-2025 16:30:46","1192776","29107448","4.1",,"23-Oct-2025 16:30:46"
"Mallcom (India) Limited","6240000","4597739","    73.68","1642261","0","     0.00","     0.00",,"23-Oct-2025 16:30:54","57461","6238084","0.92",,"23-Oct-2025 16:30:54"
"Malu Paper Mills Limited","17059250","11907353","    69.80","5151897","0","     0.00","     0.00",,"23-Oct-2025 16:30:35","272618","17058848","1.6",,"23-Oct-2025 16:30:35"
"Man Industries (India) Limited","75009571","32412022","    43.21","42597549","6500000","    20.05","     8.67",,"23-Oct-2025 16:30:17","12228610","74621675","16.39",,"23-Oct-2025 16:30:17"
"Man Infraconstruction Limited","403666505","251468757","    62.30","152197748","0","     0.00","     0.00",,"23-Oct-2025 16:30:43","22025790","403627416","5.46",,"23-Oct-2025 16:30:43"
"Manaksia Coated Metals & Industries Limited","105834050","58787940","    55.55","47046110","0","     0.00","     0.00",,"23-Oct-2025 16:30:49","1169497","99678353","1.17",,"23-Oct-2025 16:30:49"
"Manaksia Limited","65534050","49105940","    74.93","16428110","0","     0.00","     0.00",,"23-Oct-2025 16:30:41","1311067","65533909","2",,"23-Oct-2025 16:30:41"
"Manali Petrochemicals Limited","171999229","77167251","    44.86","94831978","0","     0.00","     0.00",,"23-Oct-2025 16:30:36","4530272","167772455","2.7",,"23-Oct-2025 16:30:36"
"Manappuram Finance Limited","846434729","298401014","    35.25","548033715","0","     0.00","     0.00",,"23-Oct-2025 16:30:44","36233154","844073861","4.29",,"23-Oct-2025 16:30:44"
"Mangalam Cement Limited","27497298","10999620","    40.00","16497678","0","     0.00","     0.00",,"23-Oct-2025 16:30:15","3824120","27329379","13.99",,"23-Oct-2025 16:30:15"
"Mangalam Drugs And Organics Limited","15828248","7962046","    50.30","7866202","2753000","    34.58","    17.39",,"23-Oct-2025 16:30:32","3253517","15828238","20.56",,"23-Oct-2025 16:30:32"
"Mangalam Worldwide Limited","29700674","19751474","    66.50","9949200","1600000","     8.10","     5.39",,"23-Oct-2025 16:30:54","2430148","29700674","8.18",,"23-Oct-2025 16:30:54"
"Mangalore Chemicals & Fertilizers Limited","118515150","71851686","    60.63","46663464","15651540","    21.78","    13.21",,"23-Oct-2025 16:30:40","18599425","116618164","15.95",,"23-Oct-2025 16:30:40"
"Mangalore Refinery and Petrochemicals Limited","1752598777","1552507615","    88.58","200091162","0","     0.00","     0.00",,"23-Oct-2025 16:30:07","21589774","1741379185","1.24",,"23-Oct-2025 16:30:07"
"Manugraph India Limited","30415061","17540078","    57.67","12874983","0","     0.00","     0.00",,"23-Oct-2025 16:30:26","1078521","30115425","3.58",,"23-Oct-2025 16:30:26"
"Maral Overseas Limited","41508000","31109229","    74.95","10398771","14942880","    48.03","    36.00",,"23-Oct-2025 16:30:10","16371286","40939942","39.99",,"23-Oct-2025 16:30:10"
"Marathon Nextgen Realty Limited","67420546","37702556","    55.92","29717990","0","     0.00","     0.00",,"23-Oct-2025 16:30:50","4945446","67352414","7.34",,"23-Oct-2025 16:30:50"
"Marico Limited","1297935668","768320888","    59.20","529614780","15500000","     2.02","     1.19",,"23-Oct-2025 16:30:23","19937741","1297688620","1.54",,"23-Oct-2025 16:30:23"
"Marksans Pharma Limited","453163746","198822009","    43.87","254341737","0","     0.00","     0.00",,"23-Oct-2025 16:30:28","17531019","452903936","3.87",,"23-Oct-2025 16:30:28"
"Maruti Suzuki India Limited","314402574","183246476","    58.28","131156098","0","     0.00","     0.00",,"23-Oct-2025 16:30:30","1080133","314401339","0.34",,"23-Oct-2025 16:30:30"
"Mastek Limited","30974717","11086197","    35.79","19888520","0","     0.00","     0.00",,"23-Oct-2025 16:30:05","1376486","30903082","4.45",,"23-Oct-2025 16:30:05"
"Master Trust Limited","123016000","88487120","    71.93","34528880","6000000","     6.78","     4.88",,"23-Oct-2025 16:30:54","23122631","111174750","20.8",,"23-Oct-2025 16:30:54"
"Matrimony.Com Limited","21563422","11699810","    54.26","9863612","1100000","     9.40","     5.10",,"23-Oct-2025 16:30:51","1199712","21561622","5.56",,"23-Oct-2025 16:30:51"
"Mawana Sugars Limited","39116864","24835976","    63.49","14280888","0","     0.00","     0.00",,"23-Oct-2025 16:30:42","789553","38668912","2.04",,"23-Oct-2025 16:30:42"
"Max Financial Services Limited","345114771","5916256","     1.71","339198515","0","     0.00","     0.00",,"23-Oct-2025 16:30:20","1685721","344673751","0.49",,"23-Oct-2025 16:30:20"
"Max Healthcare Institute Limited","972236431","230777699","    23.74","741458732","0","     0.00","     0.00",,"23-Oct-2025 16:30:53","10267126","972236431","1.06",,"23-Oct-2025 16:30:53"
"Max India Limited","52777543","26169300","    49.58","26608243","0","     0.00","     0.00",,"23-Oct-2025 16:30:53","1796729","52282115","3.44",,"23-Oct-2025 16:30:53"
"Mayur Uniquoters Ltd","43452600","25459287","    58.59","17993313","0","     0.00","     0.00",,"23-Oct-2025 16:30:47","1273938","43169756","2.95",,"23-Oct-2025 16:30:47"
"McDowell Holdings Limited","13992258","317032","     2.27","13675226","317030","   100.00","     2.27",,"23-Oct-2025 16:30:39","1209018","13626120","8.87",,"23-Oct-2025 16:30:39"
"Mcleod Russel India Limited","104455735","6523410","     6.25","97932325","3724","     0.06","     0.00",,"23-Oct-2025 16:30:33","6297049","103748783","6.07",,"23-Oct-2025 16:30:33"
"Mcnally Bharat Engineering Company Limited","33333334","30000000","    90.00","3333334","0","     0.00","     0.00",,"23-Oct-2025 16:30:36","8020029","172093069","4.66",,"23-Oct-2025 16:30:36"
"Medplus Health Services Limited","119822581","48335512","    40.34","71487069","28648829","    59.27","    23.91",,"23-Oct-2025 16:30:54","30469507","119773441","25.44",,"23-Oct-2025 16:30:54"
"Megasoft Limited","73770041","25873115","    35.07","47896926","0","     0.00","     0.00",,"23-Oct-2025 16:30:39","3691219","72287753","5.11",,"23-Oct-2025 16:30:39"
"Meghmani Organics Limited","254314211","124556986","    48.98","129757225","0","     0.00","     0.00",,"23-Oct-2025 16:30:54","19583377","254314211","7.7",,"23-Oct-2025 16:30:54"
"Melstar Information Technologies Limited","16925139","9362976","    55.32","7562163","0","     0.00","     0.00",,"23-Oct-2025 16:30:26","3241729","14030488","23.1",,"23-Oct-2025 16:30:26"
"Menon Bearings Limited","56040000","38355174","    68.44","17684826","0","     0.00","     0.00",,"23-Oct-2025 16:30:49","533174","54540988","0.98",,"23-Oct-2025 16:30:49"
"Mercator Limited","302459335","9102400","     3.01","293356935","9000000","    98.88","     2.98",,"23-Oct-2025 16:30:33","15198675","301219977","5.05",,"23-Oct-2025 16:30:33"
"Metkore Alloys & Industries Limited","70426475","40298483","    57.22","30127992",,,,,"23-Oct-2025 16:30:42","128468","68231630","0.19",,"23-Oct-2025 16:30:42"
"Metropolis Healthcare Limited","51807460","25327996","    48.89","26479464","300000","     1.18","     0.58",,"23-Oct-2025 16:30:53","622000","51807460","1.2",,"23-Oct-2025 16:30:53"
"Mic Electronics Limited","241011560","139809790","    58.01","101201770","0","     0.00","     0.00",,"23-Oct-2025 16:30:54","6042248","240843397","2.51",,"23-Oct-2025 16:30:54"
"Mirza International Limited","138201900","98629282","    71.37","39572618","0","     0.00","     0.00",,"23-Oct-2025 16:30:23","2320851","137912863","1.68",,"23-Oct-2025 16:30:23"
"Modi Rubber Limited","25240532","15698952","    62.20","9541580","0","     0.00","     0.00",,"23-Oct-2025 16:30:15","39009","20856178","0.19",,"23-Oct-2025 16:30:15"
"Mohit Industries Limited","14157575","7778165","    54.94","6379410","0","     0.00","     0.00",,"23-Oct-2025 16:30:48","216073","14148230","1.53",,"23-Oct-2025 16:30:48"
"Mold-Tek Packaging Limited","33228914","10990893","    33.08","22238021","250000","     2.27","     0.75",,"23-Oct-2025 16:30:49","998959","33148292","3.01",,"23-Oct-2025 16:30:49"
"Mold-Tek Technologies Limited","28805118","14311751","    49.68","14493367","0","     0.00","     0.00",,"23-Oct-2025 16:30:50","442889","28733393","1.54",,"23-Oct-2025 16:30:50"
"Monarch Networth Capital Limited","79268338","41911970","    52.87","37356368","1798740","     4.29","     2.27",,"23-Oct-2025 16:30:54","7880953","79046193","9.97",,"23-Oct-2025 16:30:54"
"Monte Carlo Fashions Limited","20732064","15169619","    73.17","5562445","0","     0.00","     0.00",,"23-Oct-2025 16:30:49","451535","20729442","2.18",,"23-Oct-2025 16:30:49"
"Morarjee Textiles Limited","36332349","23206657","    63.87","13125692","0","     0.00","     0.00",,"23-Oct-2025 16:30:47","311565","35992962","0.87",,"23-Oct-2025 16:30:47"
